"","word","absolute.freqency","relative.frequency"
"cervic","cervic",67,0.00490339578454333
"move","move",67,0.00490339578454333
"second","second",67,0.00490339578454333
"sleep","sleep",67,0.00490339578454333
"top","top",67,0.00490339578454333
"among","among",66,0.00483021077283372
"anoth","anoth",66,0.00483021077283372
"bring","bring",66,0.00483021077283372
"edit","edit",66,0.00483021077283372
"firm","firm",66,0.00483021077283372
"long","long",66,0.00483021077283372
"project","project",66,0.00483021077283372
"cchhs","cchhs",65,0.00475702576112412
"clean","clean",65,0.00475702576112412
"newslett","newslett",65,0.00475702576112412
"nov","nov",65,0.00475702576112412
"nutrit","nutrit",65,0.00475702576112412
"proud","proud",65,0.00475702576112412
"publichealth","publichealth",65,0.00475702576112412
"spring","spring",65,0.00475702576112412
"treat","treat",65,0.00475702576112412
"bite","bite",64,0.00468384074941452
"meal","meal",64,0.00468384074941452
"minut","minut",64,0.00468384074941452
"never","never",64,0.00468384074941452
"stroke","stroke",64,0.00468384074941452
"administr","administr",63,0.00461065573770492
"away","away",63,0.00461065573770492
"champaign","champaign",63,0.00461065573770492
"cost","cost",63,0.00461065573770492
"dupagehealth","dupagehealth",63,0.00461065573770492
"play","play",63,0.00461065573770492
"special","special",63,0.00461065573770492
"tchd","tchd",63,0.00461065573770492
"confer","confer",62,0.00453747072599532
"easi","easi",62,0.00453747072599532
"end","end",62,0.00453747072599532
"focus","focus",62,0.00453747072599532
"mean","mean",62,0.00453747072599532
"power","power",62,0.00453747072599532
"rate","rate",62,0.00453747072599532
"reach","reach",62,0.00453747072599532
"treatment","treatment",62,0.00453747072599532
"concern","concern",61,0.00446428571428571
"condit","condit",61,0.00446428571428571
"healthier","healthier",61,0.00446428571428571
"hot","hot",61,0.00446428571428571
"jan","jan",61,0.00446428571428571
"lunch","lunch",61,0.00446428571428571
"mrc","mrc",61,0.00446428571428571
"pressur","pressur",61,0.00446428571428571
"recycl","recycl",61,0.00446428571428571
"workshop","workshop",61,0.00446428571428571
"air","air",60,0.00439110070257611
"associ","associ",60,0.00439110070257611
"earli","earli",60,0.00439110070257611
"getcoveredillinoi","getcoveredillinoi",60,0.00439110070257611
"happen","happen",60,0.00439110070257611
"human","human",60,0.00439110070257611
"market","market",60,0.00439110070257611
"recent","recent",60,0.00439110070257611
"serious","serious",60,0.00439110070257611
"young","young",60,0.00439110070257611
"alcohol","alcohol",59,0.00431791569086651
"behavior","behavior",59,0.00431791569086651
"chicken","chicken",59,0.00431791569086651
"deadlin","deadlin",59,0.00431791569086651
"environment","environment",59,0.00431791569086651
"fire","fire",59,0.00431791569086651
"fruit","fruit",59,0.00431791569086651
"healthcar","healthcar",59,0.00431791569086651
"interest","interest",59,0.00431791569086651
"storm","storm",59,0.00431791569086651
"tazewel","tazewel",59,0.00431791569086651
"welcom","welcom",59,0.00431791569086651
"common","common",58,0.00424473067915691
"district","district",58,0.00424473067915691
"halloween","halloween",58,0.00424473067915691
"temperatur","temperatur",58,0.00424473067915691
"birth","birth",57,0.00417154566744731
"challeng","challeng",57,0.00417154566744731
"complet","complet",57,0.00417154566744731
"found","found",57,0.00417154566744731
"fresh","fresh",57,0.00417154566744731
"govern","govern",57,0.00417154566744731
"hear","hear",57,0.00417154566744731
